KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
8, 1, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.60867
1, 1, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.6427
8, 1, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.60797
8, 1, 1, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.60809
8, 1, 2, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.68338
8, 1, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.60832
8, 1, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.60835
8, 1, 2, 64, array, true, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 4.02954
8, 1, 2, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.60835
8, 1, 2, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 1.73496
